ID,Model,Page,Category,Phase,HP,kW,Reason
ksb_agri_bpha_384_4j_hbc_small_mixed_flow_p48,BPHA 384 4J + HBC (SMALL) (Mixed flow),48,KSB Agri 200 mm Borewell,T,33.0,24.5,"Source table extracted, but the curve has a severe inversion and requires manual verification."
ksb_agri_bpha_384_4d_hbc_small_mixed_flow_p48,BPHA 384 4D + HBC (SMALL) (Mixed flow),48,KSB Agri 200 mm Borewell,T,41.0,30.0,"Source table extracted, but the curve has a severe inversion and requires manual verification."
ksb_agri_bpha_384_5j_hbc_small_mixed_flow_p48,BPHA 384 5J + HBC (SMALL) (Mixed flow),48,KSB Agri 200 mm Borewell,T,41.0,30.0,"Source table extracted, but the curve has a severe inversion and requires manual verification."
ksb_agri_bpha_384_05d_hbcn_big_mixed_flow_p49,BPHA 384 05D + HBCN (BIG) (Mixed flow),49,KSB Agri 200 mm Borewell,T,52.0,38.0,"Source table extracted, but the curve has a severe inversion and requires manual verification."
ksb_agri_bpha_384_06d_hbcn_big_mixed_flow_p49,BPHA 384 06D + HBCN (BIG) (Mixed flow),49,KSB Agri 200 mm Borewell,T,60.0,45.0,"Source table extracted, but the curve has a severe inversion and requires manual verification."
ksb_agri_bpha_384_07g_hbcn_big_mixed_flow_p49,BPHA 384 07G + HBCN (BIG) (Mixed flow),49,KSB Agri 200 mm Borewell,T,60.0,45.0,"Source table extracted, but the curve has a severe inversion and requires manual verification."
ksb_agri_ultra_516_4040_i_p53,ULTRA+ 516 4040 I,53,KSB Agri Centrifugal Monobloc,T,5.0,3.7,"Source table extracted, but the curve has a severe inversion and requires manual verification."
ksb_agri_mr_7_5_a_7_5_c_65_50_39_p60,MR 7.5 A / 7.5 C- 65-50-39,60,KSB Agri Horizontal Openwell,T,7.5,5.5,"Source table extracted, but the curve has a severe inversion and requires manual verification."
ksb_agri_mr_15_fc_90_80_39_p61,MR 15 FC- 90-80-39,61,KSB Agri Horizontal Openwell,T,15.0,11.0,"Source table extracted, but the curve has a severe inversion and requires manual verification."
ksb_agri_mr_30_c_125_100_45_p61,MR 30 C- 125-100-45,61,KSB Agri Horizontal Openwell,T,30.0,22.0,"Source table extracted, but the curve has a severe inversion and requires manual verification."
ksb_agri_mr_30_c_100_75_60_p61,MR 30 C- 100-75-60,61,KSB Agri Horizontal Openwell,T,30.0,22.0,"Source table extracted, but the curve has a severe inversion and requires manual verification."
ksb_agri_mr_15_fc_80_65_56_p62,MR 15 FC- 80-65-56,62,KSB Agri Horizontal Openwell,T,15.0,11.0,"Source table extracted, but the curve has a severe inversion and requires manual verification."
ksb_agri_mr_25_c_125_100_38_p63,MR 25 C- 125-100-38,63,KSB Agri Horizontal Openwell,T,25.0,18.6,"Source table extracted, but the curve has a severe inversion and requires manual verification."
ksb_agri_mrv_t_plus_n_02_5_0_hp_dol_p65,MRV(T) PLUS N- 02/5.0 HP DOL,65,KSB Agri Vertical Openwell,T,5.0,3.37,"Source table extracted, but the curve has a severe inversion and requires manual verification."
ksb_agri_mrv_t_plus_02_5_0_hp_dol_p65,MRV(T) PLUS - 02/5.0 HP DOL,65,KSB Agri Vertical Openwell,T,5.5,3.37,"Source table extracted, but the curve has a severe inversion and requires manual verification."
ksb_agri_mrv_t_plus_n_02_7_5_hp_dol_p65,MRV(T) PLUS N- 02/7.5 HP DOL,65,KSB Agri Vertical Openwell,T,7.5,5.5,"Source table extracted, but the curve has a severe inversion and requires manual verification."
ksb_agri_mrv_t_plus_02_7_5_hp_sd_p65,MRV(T) PLUS - 02/7.5 HP SD,65,KSB Agri Vertical Openwell,T,7.5,5.5,"Source table extracted, but the curve has a severe inversion and requires manual verification."
ksb_agri_vo_100_7_p67,VO 100 / 7,67,KSB Agri Vertical Openwell,T,7.5,5.5,"Source table extracted, but the curve has a severe inversion and requires manual verification."
ksb_agri_vo_150_4_p67,VO 150 / 4,67,KSB Agri Vertical Openwell,T,7.5,5.5,"Source table extracted, but the curve has a severe inversion and requires manual verification."
